S. No.,Name,Address,Website,LinkedIn
1,Adobe Systems India Pvt Ltd,"Adobe Towers
I-1A, City Centre, Sector : 25A, NOIDA-201301",https://www.adobe.com/in/,https://www.linkedin.com/company/adobe/
2,AgreeYa Solutions (India) Pvt Ltd,"B-38 C/2, Sector 57
NOIDA 201 301",www.agreeya.com,https://www.linkedin.com/company/alletec/
3,All e Technologies (P) Ltd,"A-67, Sect 57, Noida-201301",www.alletec.com,https://www.linkedin.com/company/agreeya-solutions/
4,Birlasoft Limited,"Software Technology Park, 2nd Floor Ganga Shopping Complex
Sector29, Noida 201303",www.birlasoft.net,https://www.linkedin.com/company/birlasoft/
5,Cadence Design Systems India Pvt. Ltd,"Plot 57A, B & C, NSEZ,
Noida Special Economic Zone, Noida, 201305",https://www.cadence.com/en_US/home.html,https://www.linkedin.com/company/cadence/
6,ClearTrail Technologies Pvt Ltd,"D - 27, Sector 59
Noida, Uttar Pradesh - 201307",https://www.clear-trail.com/,https://www.linkedin.com/company/cleartrail-technologies/
7,Corbus (India) Private Limited,"SDF # C-5, B-9, C-7
Software Technology Park
Noida Export Processing Zone
Noida-201305, UP",http://www.corbus.com/,https://www.linkedin.com/company/corbus-llc/
8,exl Service.com (India) Pvt Ltd,"A-48, Sector 58, Noida",https://www.exlservice.com/,https://www.linkedin.com/company/exl-service/
9,Granada Services Ltd. (iEnergizer Inc.),"A-37 Sector 60
Noida, 201301",https://www.ienergizer.com/,https://www.linkedin.com/company/ienergizer/
10,GrapeCity India Pvt Ltd,"A-15, Sector 62,
Noida, UP 201307",https://www.grapecity.in/,https://www.linkedin.com/company/grapecityindiapvtltd/
11,Hurix Systems Pvt. Ltd.,"C-56/10, 2nd Floor
Sector 62, Noida
U.P.201301",https://www.hurix.com/,https://www.linkedin.com/company/hurix-digital/
12,Impetus Infotech (I) Pvt. Ltd.,"D - 27, Sector 59
Noida (Near New Delhi),
Uttar Pradesh - 201307,",https://www.impetus.com/,https://www.linkedin.com/company/impetus/
13,India Insure Risk Management Services Pvt Ltd,"A-70, Sector-2, Noida NCR,
Dist Gautam Budh Nagar,
UP - 201301",https://indiainsure.iirmholdings.in/,https://www.linkedin.com/company/indiainsure/
14,GlobalLogic ,"B-34/1, Sector 59,
Noida 201301 (U.P)",https://www.globallogic.com/,https://www.linkedin.com/company/globallogic/
15,Infogain India Pvt. Ltd.,"A-16, Sector 60, Noida
Gautam Budh Nagar. 201301",https://www.infogain.com/,https://www.linkedin.com/company/infogain/
16,Interra Information Technologies (India) Pvt Ltd,"E-14, Noida Special Economic Zone
Noida, UP 201305",https://www.interrait.com/,https://www.linkedin.com/company/interrait/
17,JK Technosoft Ltd,"F-3, Sector-III
Noida 201301",https://jktech.com/,https://www.linkedin.com/company/jk-tech/
18,Liqvid eLearning Services Pvt Ltd,"F3, Sector 8,
NOIDA, U.P. 201 301",https://liqvid.com/,https://www.linkedin.com/company/liqvidlearning
19,NetEdge Computing Global Services Pvt Ltd,"A - 14, Sector - 7
Noida 201 301",https://netedgecomputing.com/,https://www.linkedin.com/company/netedge-computing-solutions-pvt.-ltd./
20,NextBrick Solutions Limited,"G-11, Sector 11,
NOIDA 201 301, UP",https://nextbrick.com/,https://www.linkedin.com/company/nextbrick-inc
21,Nucleus Software Exports Ltd,"A-39, Sector-62,
Noida - 201307
Uttar Pradesh",https://www.nucleussoftware.com/,https://www.linkedin.com/company/nucleus-software-exports-limited/
22,Progressive Infotech Pvt Ltd,"NOIDA (Suburban Delhi)
C-161, Phase-II Extension
Noida-201305",https://www.progressive.in/,https://www.linkedin.com/company/progressiveinfotech/
23,Pyramid IT Consulting Pvt Ltd,"D-26, Sector 63
NOIDA - 201 301 (U.P.)",https://pyramidci.com/,https://www.linkedin.com/company/pyramid-consulting/
24,R Systems International Limited,"C-40, Sector 59
Noida 201307 (UP)",https://www.rsystems.com/,https://www.linkedin.com/company/r-systems/
25,RMSI Private Limited,"A-7 Sector 16
NOIDA 201 301",https://www.rmsi.com/,https://www.linkedin.com/company/rmsi/
26,RocSearch India Pvt Ltd,"A-16, Sector 16,
Noida, UP - 201301",https://www.rocsearch.com/,https://www.linkedin.com/company/rocsearch/
